,ar_day0,car_pre_5,car_post_5,car_post_10,car_post_20,velocity_ratio,net_sentiment,avg_sentiment_score,mention_count_pre,beta,price_at_event
count,62697.0,62708.0,62708.0,62708.0,62708.0,57353.0,19252.0,19252.0,57353.0,62708.0,62697.0
mean,0.0002,-0.0001,0.0001,0.0001,-0.0004,5.4601,0.0129,0.8495,1.58,1.012,82.5458
std,0.0304,0.0413,0.0566,0.0752,0.1059,12.0971,0.3473,0.0992,9.4695,0.4344,140.9735
min,-0.891,-0.6345,-0.8751,-0.953,-1.9271,0.0,-1.0,0.3421,0.0,-5.0226,1.17
10%,-0.0243,-0.0391,-0.0419,-0.0579,-0.0844,0.0,-0.25,0.7192,0.0,0.4856,14.3627
25%,-0.0095,-0.0179,-0.0192,-0.0273,-0.0402,0.0,0.0,0.8053,0.0,0.7361,26.5766
50%,0.0,-0.0001,-0.0004,-0.0004,-0.001,0.0,0.0,0.8777,0.0,0.9875,49.1827
75%,0.0097,0.0178,0.0189,0.0266,0.0379,8.9,0.0,0.9238,1.0,1.2594,93.2703
90%,0.0252,0.0386,0.0422,0.0573,0.0814,20.0,0.3333,0.9464,3.0,1.5604,163.3022
max,0.7616,0.6472,8.9955,8.994,9.0124,645.3447,1.0,0.9779,1704.0,4.0735,3097.91
