,ar_day0,car_pre_5,car_post_5,car_post_10,car_post_20,velocity_ratio,net_sentiment,avg_sentiment_score,mention_count_pre,beta,price_at_event
count,19251.0,19252.0,19252.0,19252.0,19252.0,19252.0,19252.0,19252.0,19252.0,19252.0,19251.0
mean,0.0003,-0.0004,0.0004,0.0002,0.0002,16.2661,0.0129,0.8495,4.7069,1.016,103.3704
std,0.036,0.0512,0.0493,0.0633,0.0902,16.1305,0.3473,0.0992,15.888,0.4516,160.2009
min,-0.373,-0.6345,-0.456,-0.6042,-0.7861,0.2641,-1.0,0.3421,1.0,-0.809,1.74
10%,-0.031,-0.0463,-0.0466,-0.0637,-0.091,4.6842,-0.25,0.7192,1.0,0.4553,17.45
25%,-0.0112,-0.0199,-0.0215,-0.0295,-0.0428,8.6129,0.0,0.8053,1.0,0.7351,33.8566
50%,0.0002,0.0001,-0.0005,-0.0005,-0.0009,10.0,0.0,0.8777,2.0,0.9938,64.7886
75%,0.0118,0.0204,0.0212,0.0291,0.0418,20.0,0.0,0.9238,4.0,1.275,125.1935
90%,0.0321,0.0451,0.0474,0.0646,0.0916,30.0,0.3333,0.9464,9.0,1.5681,210.13
max,0.7616,0.6472,0.6669,0.6623,1.2576,645.3447,1.0,0.9779,1704.0,3.7621,2839.91
